ACFT_MAKE_NAME,LOC_STATE_NAME,ACFT_MODEL_NAME,RMK_TEXT,FLT_PHASE,EVENT_TYPE_DESC,FATAL_FLAG,EVENT_DATETIME,ACFT_DMG_DESC_Minor,ACFT_DMG_DESC_Substantial,ACFT_DMG_DESC_Unknown
LANCAIR,Kansas,IV,"AIRCRAFT DURING FLIGHT, WINDOW SEPARATED FROM FUSALEGE, LANDED WITHOUT INCIDENT, GOODLAND, KS",UNKNOWN (UNK),Incident,No,2016-02-05 19:45:00+00:00,False,False,True
BEECH,Florida,35,"AIRCRAFT ON LANDING, NOSE GEAR COLLASPED, CRYSTAL RIVER, FL",LANDING (LDG),Incident,No,2016-02-06 16:45:00+00:00,False,False,True
MOONEY,Ohio,M20K,"AIRCRAFT ON LANDING, GEAR COLLAPSED, DEFIANCE, OH",LANDING (LDG),Incident,No,2016-02-06 21:45:00+00:00,True,False,False
AERO COMMANDER,Virginia,500,"AIRCRAFT ON TAXI, GEAR RETRACTED, CHESAPEAKE,  VA",TAXI (TXI),Incident,No,2016-02-05 07:30:00+00:00,False,False,True
CESSNA,Georgia,310,"AIRCRAFT ON LANDING, GEAR COLLAPSED, GRIFFIN, GA",LANDING (LDG),Incident,No,2016-02-05 22:30:00+00:00,True,False,False
MOONEY,Maryland,M20E,"AIRCRAFT ON LANDING WENT OFF THE END OF THE RUNWAY, GAITHERSBURG, MD",LANDING (LDG),Incident,No,2016-02-07 19:21:00+00:00,False,False,True
BEECH,California,35,"AIRCRAFT ON LANDING, NOSE GEAR COLLAPSED, MONTEREY, CA",LANDING (LDG),Incident,No,2016-02-05 20:54:00+00:00,False,False,True
SABRELINER,Arkansas,NA265,"AIRCRAFT ON LANDING, GEAR COLLAPSED, WEST MEMPHIS, AR",LANDING (LDG),Incident,No,2016-02-06 22:00:00+00:00,False,False,True
MOONEY,Maryland,M20K,"AIRCRAFT ON LANDING, STRUCK A SIGN AND RUNWAY LIGHTS, EASTON, MD",LANDING (LDG),Incident,No,2016-02-04 23:15:00+00:00,True,False,False
PIPER,Kansas,PA24,"AIRCRAFT LANDED GEAR UP, EUREKA, KS",LANDING (LDG),Incident,No,2016-02-06 15:36:00+00:00,True,False,False
BOEING,Texas,737,"SOUTHWEST AIRLINES FLIGHT SWA3817 BOEING 737 AIRCRAFT, REGISTRATION NOT REPORTED,  ENCOUNTERED TURBULENCE AND 1 FLIGHT ATTENDANT SUSTAINED UNKNOWN INJURIES AND TRANSPORTED TO THE HOSPITAL, DIVERTED AND LANDED WITHOUT INCIDENT, EL PASO, TX",LANDING (LDG),Incident,No,2016-02-06 14:17:00+00:00,False,False,True
AERONCA,Texas,O58B,"AIRCRAFT ON LANDING, GROUND LOOPED, BULVERDE AIRPARK,  SAN ANTONIO, TX",LANDING (LDG),Accident,No,2015-12-31 17:00:00+00:00,False,True,False
NORTH AMERICAN,Arizona,F51,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, THE 2 PERSONS ON BOARD WERE FATALLY INJURED, NEAR MARICOPA, AZ",UNKNOWN (UNK),Accident,Yes,2016-02-05 11:17:00+00:00,False,False,False
CHAMPION,California,8KCAB,"N9872R, BEECH M35 AIRCRAFT, AND N5057G, BELLANCE 8KCAB AIRCRAFT, COLLIDED MIDAIR OVER THE PACIFIC OCEAN OFF THE COAST, THE 2 PERSONS ON BOARD N9872R WERE FATALLY INJURED, THE 1 PERSON ON BOARD N5057G WAS FATALLY INJURED, WRECKAGE LOCATED OFF THE COAST NEAR SAN PEDRO, CA",UNKNOWN (UNK),Accident,Yes,2016-02-05 23:02:00+00:00,False,False,False
BEECH,California,35,"N9872R, BEECH M35 AIRCRAFT, AND N5057G, BELLANCE 8KCAB AIRCRAFT, COLLIDED MIDAIR OVER THE PACIFIC OCEAN OFF THE COAST, THE 2 PERSONS ON BOARD N9872R WERE FATALLY INJURED, THE 1 PERSON ON BOARD N5057G WAS FATALLY INJURED, WRECKAGE LOCATED OFF THE COAST NEAR SAN PEDRO, CA",UNKNOWN (UNK),Accident,Yes,2016-02-05 23:02:00+00:00,False,False,False
CESSNA,Alabama,182,"N784CP AIRCRAFT CRASHED INTO A WOODED AREA NEAR THE AIRPORT, THE 2 PERSONS ON  BOARD WERE FATALLY INJURED, MOBILE, AL UPDATE REGISTRATION N784CP,",UNKNOWN (UNK),Accident,Yes,2016-02-02 01:52:00+00:00,False,False,True
